,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
KLBN11,KLBN11,UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,22.76,2023-08-31,16.67,23.33,100994000,25572600000,45087400000,2023-06-30,5617890000,563,217,401,130,052,476,-109,6.1%,477,707,19.3%,404,1049,47.0%,32.4%,26.9%,12.9%,15.8%,38.5%,186,217,040,49258400000,6023780000,11645300000,25538500000,19514700000,11784300000,19695000000,6373790000,4541380000,4292580000,1155590000,640939000,,,,,,
RENT3,RENT3,ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,63.25,2023-08-31,48.59,72.26,361307000,67067800000,94189000000,2023-06-30,1060360000,5142,270,1316,261,093,2068,-221,2.1%,1017,1848,24.6%,123,2346,30.0%,19.8%,5.1%,7.1%,8.8%,5.2%,124,148,036,71955900000,9730360000,16764900000,36851600000,27121200000,24880200000,25694300000,5097250000,1304290000,6846160000,806666000,-88069000,,,,,,
LWSA3,LWSA3,ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,7.07,2023-08-31,4.43,11.09,50891300,4212050000,3225300000,2023-06-30,595764000,-22048,145,6241,344,095,712,1283,0.7%,1797,4779,43.7%,-003,489,46.0%,5.5%,-1.6%,1.5%,2.0%,-0.7%,148,003,028,4417080000,1060060000,1831570000,73312000,-986749000,2913770000,1223900000,67487000,-19104000,313900000,13146000,-38832000,,,,,,
LREN3,LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",16.03,2023-08-31,14.46,30.54,413633000,15440500000,14865700000,2023-06-30,963227000,1520,159,561,116,077,309,967,4.6%,390,540,13.3%,105,1008,60.0%,20.7%,7.6%,13.8%,17.5%,10.5%,173,024,067,19953700000,2901440000,11838600000,2326580000,-574857000,9712480000,13311200000,2753500000,1016150000,3504080000,762887000,229700000,,,,,,
MGLU3,MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,2.76,2023-08-31,2.37,5.37,302693000,18627000000,23372000000,2023-06-30,6748930000,-2080,186,1680,050,052,486,-286,0.0%,989,2107,23.0%,-013,148,27.9%,2.9%,-2.4%,3.1%,4.4%,-8.9%,125,072,106,35598900000,2486800000,19085500000,7231730000,4744920000,10011500000,37614000000,1108990000,-895639000,8572260000,226004000,-301746000,,,,,,
MRFG3,MRFG3,ON NM,Marfrig ON NM,Alimentos Processados,Carnes e Derivados,7.41,2023-08-31,6.11,11.69,87613600,4890600000,48426500000,2023-06-30,660000000,-302,121,227,004,004,089,-008,12.3%,533,2252,33.3%,-246,614,11.1%,1.6%,-3.6%,1.7%,2.3%,-40.0%,114,1533,109,127045000000,18591800000,43935100000,62127700000,43535900000,4053750000,138077000000,2150400000,-1621010000,32513900000,-68138000,-784383000,,,,,,
CASH3,CASH3,ON NM,MELIUZ ON NM,Programas e Serviços,Programas e Serviços,6.72,2023-08-31,6.72,13.50,28918200,581607000,186937000,2023-06-30,86548600,-1259,075,-496,157,050,100,110,0.0%,-190,-159,45.3%,-053,890,-31.7%,-31.7%,-12.9%,-10.0%,-15.2%,-6.0%,271,000,032,1173420000,395775000,922169000,1105000,-394670000,770573000,369815000,-117202000,-46210000,72152000,-16407000,-13307000,,,,,,
BEEF3,BEEF3,ON NM,Minerva ON NM,Alimentos Processados,Carnes e Derivados,8.40,2023-08-31,8.07,14.62,106654000,5101180000,12797300000,2023-06-30,607283000,1453,1245,236,018,026,130,-070,6.6%,484,592,17.7%,058,067,19.6%,7.5%,1.2%,10.9%,20.2%,85.7%,150,3390,146,19866700000,6197270000,11661100000,13893400000,7696170000,409782000,28934800000,2161970000,351062000,7276480000,565211000,118010000,,,,,,
MRVE3,MRVE3,ON NM,MRV ON NM,Construção Civil,Incorporações,11.36,2023-08-31,5.53,14.14,137435000,6383990000,13902400000,2023-06-30,561971000,-6453,106,8855,093,027,113,-116,1.5%,5861,19285,4.3%,-018,1071,20.8%,1.0%,-0.9%,0.3%,0.3%,-1.6%,206,135,029,23344700000,609856000,11008300000,8128290000,7518430000,6018990000,6884090000,72091100,-98926000,1825660000,54017000,181098000,,,,,,
MULT3,MULT3,ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,24.74,2023-08-31,19.65,28.13,109960000,14862800000,16771500000,2023-06-30,600761000,1690,218,1034,780,139,9436,-596,3.4%,1035,1167,11.2%,146,1134,91.7%,75.4%,46.2%,13.4%,14.6%,12.9%,113,039,018,10687200000,717838000,1379330000,2626470000,1908630000,6812010000,1905880000,1437180000,879560000,487624000,327902000,247233000,,,,,,
PCAR3,PCAR3,ON,PÃO DE AÇÚCAR ON,Comércio e Distribuição,Alimentos,4.94,2023-08-31,4.94,9.82,63678400,1334490000,4276490000,2023-06-30,270139000,-064,012,1466,021,003,012,-077,0.0%,548,4699,-36.9%,-767,4153,21.4%,1.4%,-29.0%,0.2%,0.2%,-18.5%,160,055,014,44398000000,3217000000,28951000000,6159000000,2942000000,11220000000,6387000000,91000100,-2071000000,4755000000,256000000,-425000000,,,,,,
PETR3,PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",34.54,2023-08-31,20.09,35.53,423570000,450557000000,668947000000,2023-06-30,13044500000,288,122,172,077,045,-3048,-094,26.8%,199,256,19.4%,1199,2842,50.6%,45.0%,27.0%,26.4%,29.0%,42.2%,090,075,059,990459000000,60985000000,136816000000,279375000000,218390000000,370683000000,581563000000,261516000000,156375000000,113840000000,49813000000,28782000000,,,,,,
PETR4,PETR4,PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",31.94,2023-08-31,17.40,32.62,1530180000,416641000000,635031000000,2023-06-30,13044500000,266,112,159,072,042,-2818,-087,29.0%,189,243,19.4%,1199,2842,50.6%,45.0%,27.0%,26.4%,29.0%,42.2%,090,075,059,990459000000,60985000000,136816000000,279375000000,218390000000,370683000000,581563000000,261516000000,156375000000,113840000000,49813000000,28782000000,,,,,,
PRIO3,PRIO3,ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",46.42,2023-08-31,27.03,48.59,415742000,41185200000,50279800000,2023-06-30,887229000,1107,383,889,509,158,-10210,-356,0.0%,845,1086,69.2%,420,1212,65.2%,57.3%,46.0%,17.8%,19.2%,34.6%,090,095,031,25992000000,1155250000,3664020000,10249800000,9094590000,10753900000,8085660000,4631350000,3722060000,2311210000,1198470000,840969000,,,,,,
PETZ3,PETZ3,ON NM,PETZ ON NM,Comércio,Produtos Diversos,5.48,2023-08-31,5.11,11.12,110327000,2534340000,2481020000,2023-06-30,462471000,6161,136,1275,082,064,357,-351,0.5%,496,1248,31.7%,009,402,47.2%,6.4%,1.3%,5.0%,6.3%,2.2%,205,024,078,3964640000,506721000,1385640000,453403000,-53318000,1857470000,3086450000,198793000,41137000,791648000,47977000,11391000,,,,,,
RADL3,RADL3,ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,27.48,2023-08-31,20.94,29.55,129424000,47210800000,49244000000,2023-06-30,1718010000,4579,853,2435,149,266,1606,-2100,1.1%,1405,2540,18.7%,060,322,30.0%,6.1%,3.3%,10.9%,14.6%,18.6%,142,043,179,17745400000,370435000,9895740000,2403600000,2033170000,5531980000,31699800000,1938570000,1031080000,8442310000,620423000,338188000,,,,,,
RAIZ4,RAIZ4,PN N2,RAIZEN PN N2,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",3.63,2023-08-31,2.25,4.56,76429800,37579600000,77429000000,2023-06-30,10352500000,1487,166,503,016,034,2732,-091,6.4%,494,1037,45.5%,024,219,6.8%,3.3%,1.1%,6.7%,8.3%,11.1%,103,194,204,111896000000,4066100000,47171200000,43915400000,39849300000,22691000000,228396000000,7466540000,2526980000,48822000000,794345000,637750000,,,,,,
RDOR3,RDOR3,ON NM,REDE D OR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,28.66,2023-08-31,20.00,36.98,170906000,65611100000,68119000000,2023-06-30,2289290000,4963,293,1380,188,071,249,-241,0.6%,1063,1433,37.2%,058,979,18.8%,13.7%,4.1%,5.1%,7.6%,5.9%,268,142,037,92966000000,29274700000,42077300000,31782600000,2507870000,22421500000,34808900000,4752780000,1321940000,11678700000,1376730000,408529000,,,,,,
RAIL3,RAIL3,ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,22.35,2023-08-31,16.46,24.09,334878000,41456300000,52829300000,2023-06-30,1854870000,5259,268,1366,402,089,985,-192,0.3%,1057,1740,10.1%,043,832,34.5%,29.4%,7.7%,6.5%,7.5%,5.1%,185,111,022,46472900000,5714930000,9187730000,17087900000,11373000000,15440200000,10317500000,3035330000,788347000,2763110000,942363000,167284000,,,,,,
SBSP3,SBSP3,ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,57.92,2023-08-31,42.67,59.84,160331000,39588900000,56037700000,2023-06-30,683510000,1232,138,798,167,069,-21084,-176,2.2%,742,1129,8.4%,470,4206,34.5%,20.9%,13.5%,8.6%,9.0%,11.2%,097,065,041,57453600000,2256350000,6262210000,18705200000,16448800000,28747600000,23772800000,4962370000,3214220000,6154540000,1010350000,743743000,,,,,,
SANB11,SANB11,UNT,SANTANDER UNT,Intermediários Financeiros,Bancos,27.11,2023-08-31,24.72,31.05,43843200,101643000000,-,2023-06-30,7498530000,1160,121,-,-,-,-,-,6.3%,-,-,-5.9%,234,2240,-,-,0.0%,0.0%,-,10.4%,-,-,-,1111400000000,,,,,83990900000,,,8765160000,,,2117390000,314496000000,441323000000,10040800000,14421800000,5398260000,2750870000
SMTO3,SMTO3,ON NM,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,36.13,2023-08-31,21.12,37.68,55562400,12790400000,19475800000,2023-06-30,354011000,1261,210,887,204,067,376,-182,4.6%,561,1351,18.4%,287,1717,31.4%,23.0%,16.2%,7.6%,9.0%,16.7%,237,149,033,18971000000,2370270000,5880010000,9055700000,6685430000,6078940000,6272690000,1441600000,1014430000,1342590000,369135000,220268000,,,,,,
CSNA3,CSNA3,ON,CSN ON,Siderurgia e Metalurgia,Siderurgia,12.11,2023-08-31,9.83,16.92,104505000,16059000000,44548700000,2023-06-30,1326090000,-2711,087,223,036,019,165,-046,24.1%,430,619,18.7%,-045,1394,25.5%,16.2%,-0.2%,8.6%,11.2%,-3.2%,153,225,053,83866400000,13180100000,28283000000,41669800000,28489700000,18482000000,44334100000,7194820000,-592461000,10989100000,1161720000,183603000,,,,,,
SLCE3,SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,40.22,2023-08-31,34.42,44.90,67880200,9116460000,12880800000,2023-06-30,226665000,989,172,465,102,059,238,-414,6.9%,599,657,37.2%,407,2338,29.5%,22.0%,11.0%,12.6%,14.3%,17.4%,199,093,057,15545000000,1160790000,7689960000,4925140000,3764360000,5298880000,8909700000,1960970000,921517000,2130190000,605938000,334197000,,,,,,
SUZB3,SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,50.15,2023-08-31,38.00,56.55,204986000,66404500000,121163000000,2023-06-30,1324120000,286,156,346,136,048,286,-115,3.7%,455,631,25.2%,1753,3216,48.0%,39.2%,47.4%,13.9%,17.1%,54.5%,256,175,035,138279000000,19774100000,38062300000,74532300000,54758200000,42587500000,49004500000,19199500000,23211800000,9159630000,1877440000,5073130000,,,,,,
TAEE11,TAEE11,UNT,TAESA UNT,Energia Elétrica,Energia Elétrica,34.20,2023-08-31,30.91,38.73,72023400,11781900000,19884300000,2023-06-30,1033500000,1009,176,796,503,063,489,-138,9.9%,1326,1344,9.3%,339,1942,70.9%,63.1%,49.8%,7.9%,8.5%,17.5%,303,141,012,18812300000,1323640000,3598340000,9426130000,8102490000,6689300000,2344570000,1479750000,1167790000,678504000,387548000,220426000,,,,,,
VIVT3,VIVT3,ON,TELEF BRASIL ON,Telecomunicações,Telecomunicações,41.35,2023-08-31,34.73,44.19,86172500,68788100000,81650800000,2023-06-30,1663560000,1521,100,1018,137,057,-2354,-218,5.4%,414,1208,3.4%,272,4127,43.2%,13.4%,9.0%,5.6%,6.4%,6.6%,087,027,042,120157000000,5405900000,19903600000,18268600000,12862700000,68651400000,50311900000,6757020000,4523330000,12732700000,1839590000,1122530000,,,,,,
TIMS3,TIMS3,ON NM,TIM ON NM,Telecomunicações,Telecomunicações,14.41,2023-08-31,10.47,15.08,95778900,34883800000,36334700000,2023-06-30,2420800000,1723,138,885,152,063,-876,-165,5.9%,322,921,10.1%,084,1046,50.2%,17.2%,8.8%,7.1%,8.1%,8.0%,070,019,041,55706600000,3338620000,9280860000,4789570000,1450960000,25327100000,22938900000,3943850000,2024760000,5863260000,1139690000,626472000,,,,,,
TOTS3,TOTS3,ON NM,TOTVS ON NM,Programas e Serviços,Programas e Serviços,27.74,2023-08-31,24.84,32.95,119978000,17120700000,16146500000,2023-06-30,617183000,3524,389,1133,423,157,643,9342,1.6%,914,1068,16.8%,079,712,70.4%,37.3%,12.7%,13.8%,18.9%,11.1%,171,040,037,10923300000,2720310000,6418780000,1746170000,-974137000,4395750000,4049280000,1511230000,485814000,1087920000,380172000,95405000,,,,,,
UGPA3,UGPA3,ON,ULTRAPAR PARTICIPAÇÕES SA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",18.16,2023-08-31,11.36,19.52,89466500,20252300000,28759700000,2023-06-30,1115210000,1476,167,565,015,059,248,-398,1.9%,618,803,13.0%,123,1085,5.5%,2.6%,1.1%,10.5%,14.6%,11.3%,197,118,395,34278500000,5715490000,16589600000,14223000000,8507490000,12096600000,135396000000,3583320000,1371660000,29592500000,679250000,213876000,,,,,,
USIM5,USIM5,PNA N1,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,6.88,2023-08-31,6.31,8.19,78252500,8621190000,9581170000,2023-06-30,1253080000,3275,036,407,029,022,061,156,4.8%,310,453,26.4%,021,1892,10.7%,7.0%,2.0%,5.3%,6.5%,1.1%,397,025,076,39738700000,4940640000,18956300000,5900620000,959983000,23709800000,30237000000,2115830000,263207000,6887400000,278719000,254219000,,,,,,
VALE3,VALE3,ON NM,VALE ON NM,Mineração,Minerais Metálicos,65.08,2023-08-31,59.86,93.50,1793020000,295399000000,338326000000,2023-06-30,4539010000,519,158,379,143,067,3079,-172,6.2%,360,434,13.0%,1254,4120,39.1%,37.8%,27.8%,17.7%,19.9%,30.5%,115,036,047,441036000000,24238000000,74923000000,67165000000,42927000000,186988000000,206414000000,77986000000,56939000000,47758000000,17717000000,4573000000,,,,,,
VIIA3,VIIA3,ON,VIA ON,Comércio,Eletrodomésticos,1.27,2023-08-31,1.27,3.93,130189000,2030010000,9847010000,2023-06-30,1598430000,-176,044,107,007,006,-055,-014,0.0%,325,518,5.3%,-072,288,30.7%,6.2%,-3.8%,5.8%,7.8%,-25.1%,079,189,093,32956000000,874000000,14151000000,8691000000,7817000000,4610000000,30696000000,1901000000,-1155000000,7489000000,411000000,-492000000,,,,,,
VBBR3,VBBR3,ON,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",18.46,2023-08-31,12.33,19.08,154510000,21505900000,32741900000,2023-06-30,1165000000,2991,168,1110,012,054,170,-336,4.0%,1315,1690,19.3%,062,1100,3.2%,1.1%,0.4%,4.9%,6.3%,5.6%,264,132,435,39590000000,5662000000,20373000000,16898000000,11236000000,12818000000,172132000000,1937000000,719000000,37184000000,669000000,133000000,,,,,,
WEGE3,WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",35.88,2023-08-31,27.97,41.65,310588000,150600000000,147902000000,2023-06-30,4197320000,2996,979,2205,474,518,1583,2162,1.6%,1991,2165,27.6%,120,367,31.9%,21.5%,16.1%,23.5%,31.8%,32.7%,189,018,109,29101200000,5480460000,20237000000,2782720000,-2697740000,15385000000,31758300000,6830110000,5026270000,8171320000,1900990000,1368400000,,,,,,
YDUQ3,YDUQ3,ON,YDUQS PART ON,Diversos,Serviços Educacionais,20.37,2023-08-31,6.47,23.70,106057000,6296140000,10562700000,2023-06-30,309089000,5715,201,841,130,065,682,-158,1.3%,709,1410,8.5%,036,1016,58.5%,15.4%,2.3%,7.7%,9.0%,3.5%,156,173,050,9722950000,1154090000,2576920000,5420620000,4266530000,3138850000,4858400000,748950000,110177000,1307960000,207331000,31955000,,,,,,
